Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Maine","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F126437.jpg%3F2","NL","13 cm","rgb(255, 192, 203)","1.27","x 12"
"Anthurium Maine","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F126437.jpg%3F2","NL","11 cm","rgb(255, 192, 203)","1.03","x 16"
"Anthurium Maravilla","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F115543.jpg%3F4","NL","13 cm","rgb(189, 16, 224)","1.06","x 12"
"Anthurium Maravilla","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_1181abc5-b620-4864-b319-b82db6ff3062.jpg","NL","9 cm","rgb(189, 16, 224)","0.84","x 20"
"Anthurium Maravilla","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F115543.jpg%3F4","NL","11 cm","rgb(189, 16, 224)","0.92","x 16"
"Anthurium Maravilla","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_1181abc5-b620-4864-b319-b82db6ff3062.jpg","NL","15 cm","rgb(189, 16, 224)","1.12","x 10"
"Anthurium Maravilla","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F115543.jpg%3F4","NL","11 cm","rgb(189, 16, 224)","0.92","x 16"
"Anthurium Marea","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F116735.jpg%3F4","NL","9 cm","rgb(255, 192, 203)","1.05","x 20"
"Anthurium Marea","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F116735.jpg%3F4","NL","15 cm","rgb(255, 192, 203)","1.54","x 10"
"Anthurium Marea","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F116735.jpg%3F4","NL","11 cm","rgb(255, 192, 203)","1.28","x 16"
"Anthurium Marysia","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F27666.jpg%3F2","NL","13 cm","rgb(255, 253, 208)","1.31","x 12"
